secteur_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
A1,1997,"Loche franche, Spirlin, Goujon, Chevaine, Gardon, Barbeau fluviatile, Carpe commune, Vairon, Pseudorasbora, Tanche, Perche, Truite arc-en-ciel, Truite de riviere, Carassin, Hotu, Perche soleil, Rotengle, Chabot, Brème commune, Carpe miroir, Brochet, Epinoche, Ombre commun",23
A1,1999,"Loche franche, Spirlin, Goujon, Chevaine, Barbeau fluviatile, Vairon, Gardon, Chabot, Pseudorasbora, Perche, Truite de riviere, Cyprinidés, Ombre commun, Anguille d'Europe, Carassin, Perche soleil, Rotengle, Tanche, Carpe miroir, Carpe commune, Brochet, Able de Heckel, Lamproie de planer, Epinoche, Ablette, Vandoise, Brème commune, Bouvière",28
A1,2001,"Spirlin, Loche franche, Vairon, Goujon, Chevaine, Barbeau fluviatile, Gardon, Truite de riviere, Pseudorasbora, Carassin, Perche, Truite arc-en-ciel, Chabot, Tanche, Anguille d'Europe, Perche soleil, Rotengle, Lamproie de planer, Carpe miroir, Able de Heckel, Ombre commun, Saumon atlantique, Epinoche",23
A1,2003,"Loche franche, Spirlin, Vairon, Barbeau fluviatile, Goujon, Chevaine, Chabot, Truite de riviere, Gardon, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Pseudorasbora, Perche soleil, Truite arc-en-ciel, Rotengle, Tanche, Carrassin doré, Perche, Able de Heckel, Carassin, Saumon atlantique, Epinoche, Ombre commun",23
A1,2005,"Loche franche, Vairon, Goujon, Spirlin, Chevaine, Barbeau fluviatile, Gardon, Pseudorasbora, Poisson chat, Perche, Truite arc-en-ciel, Truite de riviere, Lamproie indéterminée (genre Lampetra), Chabot, Ombre commun, Perche soleil, Rotengle, Tanche, Carassin argente, Carrassin doré, Brochet, Saumon atlantique, Epinoche, Lamproie de planer",24
A1,2007,"Loche franche, Spirlin, Vairon, Goujon, Chevaine, Barbeau fluviatile, Chabot, Perche soleil, Pseudorasbora, Gardon, Truite de riviere, Perche, Truite arc-en-ciel, Carassin argente, Carassin, Rotengle, Tanche, Carpe commune, Carpe miroir, Epinoche, Saumon atlantique, Ombre commun, Lamproie de planer, Brochet, Ablette",25
A1,2009,"Loche franche, Spirlin, Vairon, Chabot, Goujon, Chevaine, Barbeau fluviatile, Truite de riviere, Pseudorasbora, Gardon, Perche, Perche soleil, Tanche, Carpe miroir, Carpe commune, Able de Heckel, Rotengle, Sandre, Epinoche, Lamproie de planer, Saumon atlantique, Hotu, Vandoise, Ablette, Brochet, Bouvière, Anguille d'Europe",27
A1,2011,"Spirlin, Loche franche, Vairon, Chabot, Goujon, Barbeau fluviatile, Chevaine, Truite de riviere, Pseudorasbora, Gardon, Truite arc-en-ciel, Perche soleil, Perche, Lamproie de planer, Carpe commune, Able de Heckel, Tanche, Epinoche, Saumon atlantique, Ombre commun, Hotu, Vandoise, Ablette, Aspe, Brochet, Bouvière, Brème commune, Silure glane, Anguille d'Europe",29
A1,2013,"Vairon, Chabot, Loche franche, Perche soleil, Truite de riviere, Chevaine, Perche, Spirlin, Carassin, Pseudorasbora, Goujon, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Epinoche, Barbeau fluviatile, Saumon atlantique, Ablette, Gardon, Vandoise, Brochet, Silure glane, Bouvière, Hotu, Lote de rivière",24
A1,2015,"Spirlin, Goujon, Vairon, Loche franche, Barbeau fluviatile, Chevaine, Chabot, Gardon, Perche, Perche soleil, Rotengle, Pseudorasbora, Poisson chat, Truite de riviere, Brochet, Carassin argente, Truite arc-en-ciel, Lamproie de planer, Carassin, Tanche, Silure glane, Saumon atlantique, Epinoche, Ombre commun, Carpe commune, Carpe miroir, Ablette, Hotu, Vandoise, Aspe, Gobie demi-lune, Bouvière, Gobie de kessler, Anguille d'Europe",34
A1,2017,"Spirlin, Goujon, Loche franche, Vairon, Barbeau fluviatile, Chevaine, Chabot, Gardon, Truite de riviere, Perche, Perche soleil, Pseudorasbora, Truite arc-en-ciel, Lamproie de planer, Carpe commune, Rotengle, Carassin, Saumon atlantique, Epinoche, Ablette, Vandoise, Gobie à tache noire, Hotu, Sandre, Bouvière, Tanche, Silure glane, Gobie de kessler, Brochet, Gobie demi-lune, Anguille d'Europe",31
A1,2019,"Spirlin, Goujon, Vairon, Chevaine, Loche franche, Barbeau fluviatile, Gardon, Chabot, Poisson chat, Perche, Truite de riviere, Lamproie de planer, Able de Heckel, Pseudorasbora, Tanche, Perche soleil, Rotengle, Carpe miroir, Ombre commun, Saumon atlantique, Epinoche, Gobie à tache noire, Ablette, Hotu, Gobie de kessler, Vandoise, Silure glane, Bouvière, Brochet, Brème commune, Gobie demi-lune, Anguille d'Europe, Aspe, Carpe commune, Sandre",35
A2,1991,"Goujon, Gardon, Chevaine, Anguille d'Europe, Brème commune, Vandoise, Perche, Loche franche, Barbeau fluviatile",9
A2,1993,"Truite de riviere, Chabot, Anguille d'Europe, Chevaine, Gardon, Loche franche, Goujon, Brochet, Lamproie indéterminée (genre Lampetra), Rotengle, Tanche, Perche",12
A2,1995,"Truite de riviere, Chabot, Ablette, Chevaine, Anguille d'Europe, Gardon, Vandoise, Brochet, Perche, Epinoche, Barbeau fluviatile, Goujon, Bouvière, Brème bordelière, Tanche, Perche soleil, Aspe, Brème commune, Rotengle",19
A2,1997,"Truite de riviere, Chabot, Anguille d'Europe, Goujon, Chevaine, Loche franche, Barbeau fluviatile, Tanche, Brochet, Gardon, Perche, Vandoise, Rotengle, Perche soleil, Ablette, Brème bordelière",16
A2,1999,"Truite de riviere, Chabot, Ablette, Brochet, Chevaine, Anguille d'Europe, Perche, Vandoise, Goujon, Gardon, Epinoche, Loche franche, Barbeau fluviatile, Lamproie de planer, Hotu, Tanche, Perche soleil, Carpe commune, Bouvière",19
A2,2001,"Truite de riviere, Chabot, Saumon atlantique, Ablette, Anguille d'Europe, Brochet, Loche franche, Goujon, Vandoise, Chevaine, Gardon, Perche, Barbeau fluviatile, Vairon, Tanche, Gremille, Bouvière, Carrassin doré, Silure glane, Perche soleil, Epinoche, Rotengle, Sandre",23
A2,2003,"Truite de riviere, Chabot, Chevaine, Goujon, Gardon, Loche franche, Anguille d'Europe, Bouvière, Perche, Vandoise, Brochet, Vairon, Perche soleil, Tanche, Ablette, Barbeau fluviatile, Gremille, Lamproie de planer, Hotu, Carpe commune, Epinoche, Silure glane, Aspe, Brème commune, Rotengle, Spirlin, Sandre",27
A2,2005,"Chabot, Truite de riviere, Chevaine, Gardon, Barbeau fluviatile, Ablette, Goujon, Vandoise, Loche franche, Anguille d'Europe, Epinoche, Vairon, Bouvière, Brochet, Brème commune, Hotu, Perche soleil, Perche, Gremille, Silure glane, Aspe, Tanche, Spirlin, Lamproie indéterminée (genre Lampetra)",24
A2,2007,"Truite de riviere, Chabot, Chevaine, Loche franche, Goujon, Anguille d'Europe, Vandoise, Gardon, Bouvière, Lamproie de planer, Perche, Barbeau fluviatile, Vairon, Epinoche, Gremille, Silure glane, Brochet, Ablette, Hotu, Carpe miroir, Tanche, Aspe, Spirlin, Perche soleil, Sandre, Brème commune, Rotengle",27
A2,2009,"Truite de riviere, Chabot, Goujon, Loche franche, Chevaine, Hotu, Gardon, Vairon, Barbeau fluviatile, Vandoise, Ablette, Epinoche, Lamproie de planer, Anguille d'Europe, Bouvière, Perche, Brochet, Silure glane, Ombre commun, Saumon atlantique, Tanche, Spirlin, Aspe, Brème commune, Sandre",25
